benchmark,horizon,objective,histories,classes,time_original_s,time_quotient_s,policy_original,policy_quotient,value_original_best,value_quotient_best_on_original,regret
Tiger,2,Obs score,7,4,6.0999998822808266e-05,7.320800796151161e-05,L L,L L,1.0,1.0,0.0
Tiger,2,Action+obs score,7,4,3.5415985621511936e-05,6.504100747406483e-05,OL OL,OL OL,1.0,1.0,0.0
Tiger,4,Obs score,31,16,0.0006932090036571026,0.0026700000744313,L L L L,L L L L,2.0,2.0,0.0
Tiger,4,Action+obs score,31,16,0.0006835829699411988,0.0026284579653292894,OL OL OL OL,OL OL OL OL,2.0,2.0,0.0
Tiger,6,Obs score,127,64,0.008310167002491653,0.1316390000283718,L L L L L L,L L L L L L,3.0,3.0,0.0
Tiger,6,Action+obs score,127,64,0.008372417069040239,0.13255108299199492,OL OL OL OL OL OL,OL OL OL OL OL OL,3.0,3.0,0.0
Tiger,8,Obs score,511,256,0.09892304090317339,10.158525833045132,L L L OL L L L L,L L L L L OL L L,4.0,3.9999999999999996,4.440892098500626e-16
Tiger,8,Action+obs score,511,256,0.10424445907119662,10.1220482919598,OL OL OL OL OL OL OL OL,OL OL OL OL OL OL OL OL,4.0,4.0,0.0
Tiger,10,Obs score,2047,1024,1.1194432079792023,1348.4437034160364,L L L L L L L L L L,L L L L L L L L L L,5.0,5.0,0.0
Tiger,10,Action+obs score,2047,1024,1.1363092079991475,1328.3283908750163,OL OL OL OL OL OL OL OL OL OL,OL OL OL OL OL OL OL OL OL OL,5.0,5.0,0.0
GridWorld 3x3,2,Obs score,21,6,0.0003774160286411643,0.00045670894905924797,D D,D D,1.1199999999999999,1.1199999999999999,0.0
GridWorld 3x3,2,Action+obs score,21,6,0.00027316692285239697,0.0004183329874649644,U U,U U,0.9679999999999999,0.9679999999999999,0.0
GridWorld 3x3,3,Obs score,85,22,0.00610316707752645,0.00792470807209611,D D R,D D R,1.7866666666666666,1.7866666666666666,0.0
GridWorld 3x3,3,Action+obs score,85,22,0.005673667066730559,0.007855791947804391,L U U,L U U,1.5618666666666667,1.5618666666666667,0.0
