benchmark,horizon,m,epsilon,class_count,compression_ratio,policy_count
tiger_full_actions,4,1.0,0.0,11.0,0.3548387096774194,3.0
tiger_full_actions,4,1.0,0.1,11.0,0.3548387096774194,3.0
tiger_full_actions,4,1.0,0.2,9.0,0.2903225806451613,3.0
tiger_full_actions,4,1.0,0.3,9.0,0.2903225806451613,3.0
tiger_full_actions,4,1.0,0.4,9.0,0.2903225806451613,3.0
tiger_full_actions,4,1.0,0.5,9.0,0.2903225806451613,3.0
tiger_full_actions,4,1.0,0.6,9.0,0.2903225806451613,3.0
tiger_full_actions,4,2.0,0.0,16.0,0.5161290322580645,147.0
tiger_full_actions,4,2.0,0.1,16.0,0.5161290322580645,147.0
tiger_full_actions,4,2.0,0.2,16.0,0.5161290322580645,147.0
tiger_full_actions,4,2.0,0.3,14.0,0.45161290322580644,147.0
tiger_full_actions,4,2.0,0.4,10.0,0.3225806451612903,147.0
tiger_full_actions,4,2.0,0.5,10.0,0.3225806451612903,147.0
tiger_full_actions,4,2.0,0.6,10.0,0.3225806451612903,147.0
