benchmark,horizon,depth,epsilon,n_items,greedy_clusters,optimal_clusters,gap,greedy_is_optimal
tiger_full_actions,2,0,0.0,1,1,1,0,True
tiger_full_actions,2,1,0.0,2,2,2,0,True
tiger_full_actions,2,2,0.0,4,1,1,0,True
tiger_full_actions,2,0,0.1,1,1,1,0,True
tiger_full_actions,2,1,0.1,2,2,2,0,True
tiger_full_actions,2,2,0.1,4,1,1,0,True
tiger_full_actions,2,0,0.2,1,1,1,0,True
tiger_full_actions,2,1,0.2,2,2,2,0,True
tiger_full_actions,2,2,0.2,4,1,1,0,True
tiger_full_actions,2,0,0.3,1,1,1,0,True
tiger_full_actions,2,1,0.3,2,2,2,0,True
tiger_full_actions,2,2,0.3,4,1,1,0,True
tiger_full_actions,2,0,0.4,1,1,1,0,True
tiger_full_actions,2,1,0.4,2,2,2,0,True
tiger_full_actions,2,2,0.4,4,1,1,0,True
tiger_full_actions,2,0,0.5,1,1,1,0,True
tiger_full_actions,2,1,0.5,2,1,1,0,True
tiger_full_actions,2,2,0.5,4,1,1,0,True
tiger_full_actions,2,0,0.6,1,1,1,0,True
tiger_full_actions,2,1,0.6,2,1,1,0,True
tiger_full_actions,2,2,0.6,4,1,1,0,True
tiger_full_actions,3,0,0.0,1,1,1,0,True
tiger_full_actions,3,1,0.0,2,2,2,0,True
tiger_full_actions,3,2,0.0,4,3,3,0,True
tiger_full_actions,3,3,0.0,8,1,1,0,True
tiger_full_actions,3,0,0.1,1,1,1,0,True
tiger_full_actions,3,1,0.1,2,2,2,0,True
tiger_full_actions,3,2,0.1,4,3,3,0,True
tiger_full_actions,3,3,0.1,8,1,1,0,True
tiger_full_actions,3,0,0.2,1,1,1,0,True
tiger_full_actions,3,1,0.2,2,2,2,0,True
tiger_full_actions,3,2,0.2,4,3,3,0,True
tiger_full_actions,3,3,0.2,8,1,1,0,True
tiger_full_actions,3,0,0.3,1,1,1,0,True
tiger_full_actions,3,1,0.3,2,2,2,0,True
tiger_full_actions,3,2,0.3,4,3,3,0,True
tiger_full_actions,3,3,0.3,8,1,1,0,True
tiger_full_actions,3,0,0.4,1,1,1,0,True
tiger_full_actions,3,1,0.4,2,2,2,0,True
tiger_full_actions,3,2,0.4,4,2,2,0,True
tiger_full_actions,3,3,0.4,8,1,1,0,True
tiger_full_actions,3,0,0.5,1,1,1,0,True
tiger_full_actions,3,1,0.5,2,2,2,0,True
tiger_full_actions,3,2,0.5,4,2,2,0,True
tiger_full_actions,3,3,0.5,8,1,1,0,True
tiger_full_actions,3,0,0.6,1,1,1,0,True
tiger_full_actions,3,1,0.6,2,2,2,0,True
tiger_full_actions,3,2,0.6,4,2,2,0,True
tiger_full_actions,3,3,0.6,8,1,1,0,True
tiger_full_actions,4,0,0.0,1,1,1,0,True
tiger_full_actions,4,1,0.0,2,2,2,0,True
tiger_full_actions,4,2,0.0,4,3,3,0,True
tiger_full_actions,4,3,0.0,8,4,4,0,True
tiger_full_actions,4,4,0.0,16,1,1,0,True
tiger_full_actions,4,0,0.1,1,1,1,0,True
tiger_full_actions,4,1,0.1,2,2,2,0,True
tiger_full_actions,4,2,0.1,4,3,3,0,True
tiger_full_actions,4,3,0.1,8,4,4,0,True
tiger_full_actions,4,4,0.1,16,1,1,0,True
tiger_full_actions,4,0,0.2,1,1,1,0,True
tiger_full_actions,4,1,0.2,2,2,2,0,True
tiger_full_actions,4,2,0.2,4,3,3,0,True
tiger_full_actions,4,3,0.2,8,2,2,0,True
tiger_full_actions,4,4,0.2,16,1,1,0,True
tiger_full_actions,4,0,0.3,1,1,1,0,True
tiger_full_actions,4,1,0.3,2,2,2,0,True
tiger_full_actions,4,2,0.3,4,3,3,0,True
tiger_full_actions,4,3,0.3,8,2,2,0,True
tiger_full_actions,4,4,0.3,16,1,1,0,True
tiger_full_actions,4,0,0.4,1,1,1,0,True
tiger_full_actions,4,1,0.4,2,2,2,0,True
tiger_full_actions,4,2,0.4,4,3,3,0,True
tiger_full_actions,4,3,0.4,8,2,2,0,True
tiger_full_actions,4,4,0.4,16,1,1,0,True
tiger_full_actions,4,0,0.5,1,1,1,0,True
tiger_full_actions,4,1,0.5,2,2,2,0,True
tiger_full_actions,4,2,0.5,4,3,3,0,True
tiger_full_actions,4,3,0.5,8,2,2,0,True
tiger_full_actions,4,4,0.5,16,1,1,0,True
tiger_full_actions,4,0,0.6,1,1,1,0,True
tiger_full_actions,4,1,0.6,2,2,2,0,True
tiger_full_actions,4,2,0.6,4,3,3,0,True
tiger_full_actions,4,3,0.6,8,2,2,0,True
tiger_full_actions,4,4,0.6,16,1,1,0,True
