num_samples,epsilon,class_count_exact,class_count_sampled,ari_vs_exact,benchmark
50,0.0,6,6,1.0,gridworld_3x3
50,0.1,6,6,1.0,gridworld_3x3
50,0.2,5,5,0.9804995821339029,gridworld_3x3
50,0.3,4,4,0.9706129303106633,gridworld_3x3
50,0.4,3,3,1.0,gridworld_3x3
50,0.5,3,3,1.0,gridworld_3x3
50,0.6,3,3,1.0,gridworld_3x3
100,0.0,6,6,1.0,gridworld_3x3
100,0.1,6,6,1.0,gridworld_3x3
100,0.2,5,5,0.9804995821339029,gridworld_3x3
100,0.3,4,4,1.0,gridworld_3x3
100,0.4,3,3,1.0,gridworld_3x3
100,0.5,3,3,1.0,gridworld_3x3
100,0.6,3,3,1.0,gridworld_3x3
250,0.0,6,6,1.0,gridworld_3x3
250,0.1,6,6,1.0,gridworld_3x3
250,0.2,5,6,0.9902642559109874,gridworld_3x3
250,0.3,4,4,0.9706129303106633,gridworld_3x3
250,0.4,3,3,1.0,gridworld_3x3
250,0.5,3,3,1.0,gridworld_3x3
250,0.6,3,3,1.0,gridworld_3x3
500,0.0,6,6,1.0,gridworld_3x3
500,0.1,6,6,1.0,gridworld_3x3
500,0.2,5,5,0.9804995821339029,gridworld_3x3
500,0.3,4,4,1.0,gridworld_3x3
500,0.4,3,3,1.0,gridworld_3x3
500,0.5,3,3,1.0,gridworld_3x3
500,0.6,3,3,1.0,gridworld_3x3
1000,0.0,6,6,1.0,gridworld_3x3
1000,0.1,6,6,1.0,gridworld_3x3
1000,0.2,5,5,1.0,gridworld_3x3
1000,0.3,4,4,1.0,gridworld_3x3
1000,0.4,3,3,1.0,gridworld_3x3
1000,0.5,3,3,1.0,gridworld_3x3
1000,0.6,3,3,1.0,gridworld_3x3
