benchmark,channel_type,epsilon,original_classes,coarsened_classes,original_max_d,coarsened_max_d,L_C,monotonicity_holds
gridworld_3x3,deterministic,0.0,6.0,4.0,0.342857,0.166667,1.0,True
gridworld_3x3,deterministic,0.1,6.0,4.0,0.342857,0.166667,1.0,True
gridworld_3x3,deterministic,0.2,5.0,3.0,0.342857,0.166667,1.0,True
gridworld_3x3,deterministic,0.3,4.0,3.0,0.342857,0.166667,1.0,True
gridworld_3x3,deterministic,0.4,3.0,3.0,0.342857,0.166667,1.0,True
gridworld_3x3,deterministic,0.5,3.0,3.0,0.342857,0.166667,1.0,True
gridworld_3x3,deterministic,0.6,3.0,3.0,0.342857,0.166667,1.0,True
gridworld_5x5,deterministic,0.0,6.0,4.0,0.354098,0.175325,1.0,True
gridworld_5x5,deterministic,0.1,6.0,4.0,0.354098,0.175325,1.0,True
gridworld_5x5,deterministic,0.2,5.0,3.0,0.354098,0.175325,1.0,True
gridworld_5x5,deterministic,0.3,4.0,3.0,0.354098,0.175325,1.0,True
gridworld_5x5,deterministic,0.4,3.0,3.0,0.354098,0.175325,1.0,True
gridworld_5x5,deterministic,0.5,3.0,3.0,0.354098,0.175325,1.0,True
gridworld_5x5,deterministic,0.6,3.0,3.0,0.354098,0.175325,1.0,True
gridworld_3x3,stochastic,0.0,6.0,4.0,0.342857,0.113886,1.2,True
gridworld_3x3,stochastic,0.1,6.0,4.0,0.342857,0.113886,1.2,True
gridworld_3x3,stochastic,0.2,5.0,3.0,0.342857,0.113886,1.2,True
gridworld_3x3,stochastic,0.3,4.0,3.0,0.342857,0.113886,1.2,True
gridworld_3x3,stochastic,0.4,3.0,3.0,0.342857,0.113886,1.2,True
gridworld_3x3,stochastic,0.5,3.0,3.0,0.342857,0.113886,1.2,True
gridworld_3x3,stochastic,0.6,3.0,3.0,0.342857,0.113886,1.2,True
gridworld_5x5,stochastic,0.0,6.0,4.0,0.354098,0.112781,1.2,True
gridworld_5x5,stochastic,0.1,6.0,4.0,0.354098,0.112781,1.2,True
gridworld_5x5,stochastic,0.2,5.0,3.0,0.354098,0.112781,1.2,True
gridworld_5x5,stochastic,0.3,4.0,3.0,0.354098,0.112781,1.2,True
gridworld_5x5,stochastic,0.4,3.0,3.0,0.354098,0.112781,1.2,True
gridworld_5x5,stochastic,0.5,3.0,3.0,0.354098,0.112781,1.2,True
gridworld_5x5,stochastic,0.6,3.0,3.0,0.354098,0.112781,1.2,True
