benchmark,num_states,horizon,epsilon,class_count,max_support_size,mean_support_size,max_entropic_dim,mean_entropic_dim,standard_canonical_bound,tighter_d_eff_bound,bound_improvement_ratio
tiger_full_actions,2.0,2.0,0.0,4.0,2.0,2.0,2.0,1.6203235200924322,0.0,0.0,1.0
tiger_full_actions,2.0,2.0,0.1,4.0,2.0,2.0,2.0,1.6203235200924322,3.4000000000000004,3.4000000000000004,1.0
tiger_full_actions,2.0,2.0,0.2,4.0,2.0,2.0,2.0,1.6203235200924322,6.800000000000001,6.800000000000001,1.0
tiger_full_actions,2.0,2.0,0.3,4.0,2.0,2.0,2.0,1.6203235200924322,10.2,10.2,1.0
tiger_full_actions,2.0,2.0,0.4,4.0,2.0,2.0,2.0,1.6203235200924322,13.600000000000001,13.600000000000001,1.0
tiger_full_actions,2.0,2.0,0.5,3.0,2.0,2.0,2.0,1.6203235200924322,17.0,17.0,1.0
tiger_full_actions,2.0,2.0,0.6,3.0,2.0,2.0,2.0,1.6203235200924322,20.4,20.4,1.0
gridworld_3x3,9.0,2.0,0.0,6.0,9.0,9.0,9.000000000000002,4.822590120224115,0.0,0.0,1.0
gridworld_3x3,9.0,2.0,0.1,6.0,9.0,9.0,9.000000000000002,4.822590120224115,29.0,29.000000000000007,0.9999999999999998
gridworld_3x3,9.0,2.0,0.2,5.0,9.0,9.0,9.000000000000002,4.822590120224115,58.0,58.000000000000014,0.9999999999999998
gridworld_3x3,9.0,2.0,0.3,4.0,9.0,9.0,9.000000000000002,4.822590120224115,87.0,87.00000000000001,0.9999999999999999
gridworld_3x3,9.0,2.0,0.4,3.0,9.0,9.0,9.000000000000002,4.822590120224115,116.0,116.00000000000003,0.9999999999999998
gridworld_3x3,9.0,2.0,0.5,3.0,9.0,9.0,9.000000000000002,4.822590120224115,145.0,145.00000000000003,0.9999999999999998
gridworld_3x3,9.0,2.0,0.6,3.0,9.0,9.0,9.000000000000002,4.822590120224115,174.0,174.00000000000003,0.9999999999999999
gridworld_5x5,25.0,2.0,0.0,6.0,25.0,25.0,24.999999999999986,13.24822380829331,0.0,0.0,1.0
gridworld_5x5,25.0,2.0,0.1,6.0,25.0,25.0,24.999999999999986,13.24822380829331,80.2,80.19999999999996,1.0000000000000004
gridworld_5x5,25.0,2.0,0.2,5.0,25.0,25.0,24.999999999999986,13.24822380829331,160.4,160.39999999999992,1.0000000000000004
gridworld_5x5,25.0,2.0,0.3,4.0,25.0,25.0,24.999999999999986,13.24822380829331,240.6,240.59999999999985,1.0000000000000007
gridworld_5x5,25.0,2.0,0.4,3.0,25.0,25.0,24.999999999999986,13.24822380829331,320.8,320.79999999999984,1.0000000000000004
gridworld_5x5,25.0,2.0,0.5,3.0,25.0,25.0,24.999999999999986,13.24822380829331,401.0,400.9999999999998,1.0000000000000007
gridworld_5x5,25.0,2.0,0.6,3.0,25.0,25.0,24.999999999999986,13.24822380829331,481.2,481.1999999999997,1.0000000000000007
