b0_left,b0_right,epsilon,class_count,baseline_class_count,adjusted_rand_index
0.5,0.5,0.0,4.0,4.0,1.0
0.5,0.5,0.1,4.0,4.0,1.0
0.5,0.5,0.2,4.0,4.0,1.0
0.5,0.5,0.3,4.0,4.0,1.0
0.5,0.5,0.4,4.0,4.0,1.0
0.5,0.5,0.5,3.0,3.0,1.0
0.5,0.5,0.6,3.0,3.0,1.0
0.3,0.7,0.0,4.0,4.0,1.0
0.3,0.7,0.1,4.0,4.0,1.0
0.3,0.7,0.2,4.0,4.0,1.0
0.3,0.7,0.3,4.0,4.0,1.0
0.3,0.7,0.4,4.0,4.0,1.0
0.3,0.7,0.5,3.0,3.0,1.0
0.3,0.7,0.6,3.0,3.0,1.0
0.1,0.9,0.0,4.0,4.0,1.0
0.1,0.9,0.1,4.0,4.0,1.0
0.1,0.9,0.2,4.0,4.0,1.0
0.1,0.9,0.3,3.0,4.0,0.8888888888888888
0.1,0.9,0.4,3.0,4.0,0.8888888888888888
0.1,0.9,0.5,3.0,3.0,1.0
0.1,0.9,0.6,3.0,3.0,1.0
0.7,0.3,0.0,4.0,4.0,1.0
0.7,0.3,0.1,4.0,4.0,1.0
0.7,0.3,0.2,4.0,4.0,1.0
0.7,0.3,0.3,4.0,4.0,1.0
0.7,0.3,0.4,4.0,4.0,1.0
0.7,0.3,0.5,3.0,3.0,1.0
0.7,0.3,0.6,3.0,3.0,1.0
0.9,0.1,0.0,4.0,4.0,1.0
0.9,0.1,0.1,4.0,4.0,1.0
0.9,0.1,0.2,4.0,4.0,1.0
0.9,0.1,0.3,3.0,4.0,0.8888888888888888
0.9,0.1,0.4,3.0,4.0,0.8888888888888888
0.9,0.1,0.5,3.0,3.0,1.0
0.9,0.1,0.6,3.0,3.0,1.0
