experiment,wall_clock_s,platform,python_version
tiger_reproduction,0.007,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
capacity_sweep_tiger,5.8377,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
capacity_sweep_gridworld,58.6177,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
value_loss_bounds_lipschitz,0.1329,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
value_loss_nonlipschitz_tiger,0.0804,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
horizon_gap_tiger,0.0796,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
metric_sensitivity_gridworld,0.0897,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
stochastic_vs_deterministic_sanity,0.5811,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
observation_noise_sensitivity,0.1113,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
multi_seed_witness,1.5506,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
baseline_comparison,17.9774,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
ablation_studies,0.4838,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
hyperparameter_sensitivity,6.731,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
larger_scale,4.1794,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
rate_distortion,0.0286,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
medium_scale,2.9025,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
data_processing,0.3921,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
observation_sensitivity,0.2164,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
effective_dimension,0.1016,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
baseline_sensitivity,6.8959,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
clustering_optimality,0.2221,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
initial_belief_sensitivity,0.0262,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
new_benchmarks,94.6434,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
planning_speedup,0.0671,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
capacity_extended,465.8725,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
convergence,2.7479,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
m2_medium_scale,1720.5681,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
spectral_rank_at_scale,787.3403,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
sampling_variance,4322.0226,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
spectral_rank_analysis,56.108,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
spectral_partition_comparison,92.3328,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
hierarchical_t_scaling,537.409,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
layered_bound_validation,605.495,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
principal_fsc_horizon_scaling,697.8956,Linux-6.17.4-2-pve-x86_64-with-glibc2.39,3.12.3
