benchmark,benchmark_source,reward_label,horizon,m,epsilon,num_policies,class_count,empirical_value_error,d_m_t_w1,theorem_4_4_style_bound,L_R,tightness_ratio,tightness_threshold,meets_tightness_threshold,selected_for_paper,selected_max_ratio,selected_benchmark,selected_reward_label
hallway_10,existing,landmark_reward,2.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
hallway_10,existing,landmark_reward,2.0,1.0,0.3,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
hallway_10,existing,landmark_reward,2.0,1.0,0.5,3.0,3.0,0.023293718166383703,0.3250305602716469,0.6500611205432938,1.0,0.035833120040952134,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
hallway_10,existing,landmark_reward,2.0,1.0,0.6,3.0,3.0,0.023293718166383703,0.3250305602716469,0.6500611205432938,1.0,0.035833120040952134,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
network_4,existing,alert_reward,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
network_4,existing,alert_reward,2.0,1.0,0.3,5.0,4.0,0.025995789473684305,0.04456421052631563,0.08912842105263126,1.0,0.2916666666666688,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
network_4,existing,alert_reward,2.0,1.0,0.5,5.0,3.0,0.01666396761133615,0.14511935222672076,0.2902387044534415,1.0,0.05741469816273002,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
network_4,existing,alert_reward,2.0,1.0,0.6,5.0,3.0,0.01666396761133615,0.14511935222672076,0.2902387044534415,1.0,0.05741469816273002,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
gridworld_3x3,existing,northwest_region_reward,2.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
gridworld_3x3,existing,northwest_region_reward,2.0,1.0,0.3,5.0,4.0,0.01978211933177776,0.0919480519480519,0.3677922077922076,2.0,0.053786129539085036,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
gridworld_3x3,existing,northwest_region_reward,2.0,1.0,0.5,5.0,3.0,0.03722943722943717,0.1664415584415584,0.6657662337662336,2.0,0.05591968372867242,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
gridworld_3x3,existing,northwest_region_reward,2.0,1.0,0.6,5.0,3.0,0.03722943722943717,0.1664415584415584,0.6657662337662336,2.0,0.05591968372867242,0.5,False,False,0.4999999999999999,inspection_choice,success_reward
inspection_choice,fallback,success_reward,2.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,False,True,0.4999999999999999,inspection_choice,success_reward
inspection_choice,fallback,success_reward,2.0,1.0,0.3,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,False,True,0.4999999999999999,inspection_choice,success_reward
inspection_choice,fallback,success_reward,2.0,1.0,0.5,2.0,4.0,0.125,0.375,0.75,1.0,0.16666666666666666,0.5,False,True,0.4999999999999999,inspection_choice,success_reward
inspection_choice,fallback,success_reward,2.0,1.0,0.6,2.0,4.0,0.125,0.375,0.75,1.0,0.16666666666666666,0.5,False,True,0.4999999999999999,inspection_choice,success_reward
inspection_choice,fallback,success_reward,2.0,1.0,1.0,2.0,3.0,0.5333333333333332,0.5333333333333333,1.0666666666666667,1.0,0.4999999999999999,0.5,True,True,0.4999999999999999,inspection_choice,success_reward
